summary,sentiment,keywords
" T-Mobile CEO: Tariffs are unpredictable at this point . ""Our model isn't prepared for something like that,"" Sievert says . Sievert's hot take echoes those from his CEO peers, Verizon's (VZ)Hans Vestbergand AT&T's (T)John Stankey .  Verizon reiterated its full-year outlook for post-paid net customer additions on Friday . The company missed net additions for the year . The carriers are doubling down on value messages to nervous consumers in what is shaping up to be a price war .  Verizon recently upped the ante for promotionality with a three-year price lock that now gives away free phones to, well, just about anyone . If the pool isn't deep enough, AT&T, or even T-Mobile, will have no choice but to respond .  Full-year post-paid net customer additions:5.5 million to 6 million (estimate: +5.78 million; previous: 5.5m to 6m) Full year adjusted operating profits:$33.2 billion to $33.7 billion . -KeyBanc analyst Brandon Nispel: ""Price increases are getting more difficult""",negative,"million, price, net, additions, billion"
" Apple is planning to move production of iPhones it sells in the US to India, it has been reported . The technology giant has a strategy to diversify its supply chain but the ongoing tariff and trade war between China and the US is said to be speeding up that process . Apple is hoping to use India as the source for the more than 60 million iPhones sold annually in US by the end of 2026 .  Experts have already warned the price of electronics generally, and not just Apple products, are likely to rise . The iPhone maker is set to report its latest financial results next week .",positive,"apple, iphones, india, week, generally"
" Back on April Fools' Day, there were rumors about Warren Buffett acquiringTesla for $1 trillion and taking it over . While Tesla is a leading company in the electric vehicle (EV) market, it's simply not the type of stock I would ever expect Buffett to buy .  Buffett's favorite stocks have strongcompetitive moat that enable them to dominate their respective industries . He refers to this as its moat . Others face significant competition and will have a hard time separating themselves from the pack .  Tech isn't Buffett's specialty and while there may be the oddtech companywithin Berkshire's portfolio, those types of purchases likely haven't been made by Buffett himself, but rather others on his team . Buffett advocates for staying within your circle of competence and not wading out too far into uncharted waters, where risk is often greater .  If you're a tech investor or are bullish on EVs, then odds are you probably wouldn't see Buffett owning stocks that you might buy . Ultimately, it's important to focus on your own needs and strengths as an investor; they won't be the same as Buffett's .  On rare occasions, our expert team of analysts issues a“Double Down” stockrecommendation for companies that they think are about to pop . Nvidia:if you invested $1,000 when we doubled down in 2009,you’d have $266,353!* Apple: If you’ve already missed your chance to invest, now is the best time to buy before it’s too late .  Warren Buffett isn't likely to buy Tesla stock -- ever -- ever . Warren Buffett is against Tesla stock, but he's not sure he'll buy it ever .",neutral,"buffett, buy, stock, warren, buffetts"
" Berkshire Hathaway CEO Warren Buffett has demonstrated a knack for handily outperforming Wall Street's benchmark index, theS&P 500 . Buffett doesn't offer stock-specific recommendations, but his trades do the talking . Five brand-name stocks account for nearly 64% of Berkshire's $268 billion of invested assets .  Berkshire Hathaway's five largest holdings, as a percentage of invested assets, were Apple . Coca-Cola and American Express are two of what Buffett considers to be ""indefinite"" holdings .  The bulk of Berkshire's Bank of America stake was built up by exercising warrants for 700 million shares at a price of $7.14 per share in the summer of 2017 . American Express has been a steady holding since 1991, while Coca-Cola has been held continuously since 1988 .  The Oracle of Omaha has put more than $47 billion of his company's cash to work in brand-name businesses . But this is still $30 billion less than he's invested in his favorite stock since the midpoint of 2018 . The interesting quirk about what I'm calling Warren Buffett's favorite stock to buy is that you won't find it listed in Berkshire's quarterly 13F filings .  On July 17, 2018, Berkshire Hathaway's board amended the share repurchase rules to give its CEO more liberty to reward investors via buybacks . The new criteria allow Buffett to repurchase as many shares as he likes, with no ceiling or end date, as long as Berkshire has at least $30 billion in combined cash, cash equivalents, and U.S. Treasuries on its balance sheet .  Nearly $78 billion worth of buybacks in less than seven years signals Buffett's utmost confidence in the company he built with Munger over many decades . Recently, Berkshire Hathaway stock has been trading at its highest price-to-book multiple since 2008 .  Berkshire Hathaway wasn’t one of the 10 best stocks to buy now . The Motley Fool Stock Advisor’s total average return is 829% — a market-crushing outperformance compared to155% for the S&P 500 . Consider when Netflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $566,035!  Berkshire Hathaway has spent more than $10 billion on Apple than any other company . American Express is an advertising partner of The Motley Fool Money .",neutral,"berkshire, billion, stock, hathaway, invested"
" Apple is jettisoning the product's current issuer, a change that might result in a switch of the network operator facilitating the card's transactions . The stakes in this battle could be high . A great many Apple Card holders are also Apple device owners .  The issuer behind the card was, and remains for now, Goldman Sachs . At the time Goldman was pushing hard into consumer finance, most notably starting a next-generation bank called Marcus . The company began transitioning out of Marcus in 2022 .  Apple Card's network operator since inception has been Mastercard . Mastercard's archrival Visa has offered around $100 million to Apple to be the facilitator of Apple Card transactions . American Express also seems to be in the running for Apple's business .  An estimate from a venture capital firm based on those 2024 numbers calculated annual Apple Card spend of $67 billion, equating to roughly $5,500 per user . Delta Air LinesSkyMiles cards underpinned by AmEx produced $250 billion worth of spend on a narrower base of 7.5 million cards .  Apple might have to relax its requirements if it wants a robust and mutually beneficial partnership . Visa is a powerhouse in the networking segment and has much leverage on that basis alone . JPMorgan Chase is the largest U.S. credit card issuer by payment volume -- of over $1.3 trillion .  Apple is clearly determined to push deeper into consumer finance . Given that, plus the fact that the Goldman arrangement eventually tanked, it might well be amenable to offering conciliatory terms to potential new partners . This will be the tell of which company or companies will ultimately walk away with the biggest prizes .  Stock Advisor’s total average return is 829% — a market-crushing outperformance compared to155% for the S&P 500 . Consider whenNetflixmade this list on December 17, 2004... if you invested $1,000 at the time of our recommendation,you’d have $566,035! Or whenNvidiamade this list in April 2005... if . you invested $629,519!  Are Epic Fights Brewing Over This Lucrative Apple Business? Apple is one of the fastest growing companies in the U.S. market . The company has a history of more than 1,000 patents .",neutral,"apple, card, cards, company, goldman"
" China’s government is considering suspending its 125% tariff on some US imports . Authorities are considering removing the additional levies for medical equipment and some industrial chemicals like ethane . Officials are also discussing waiving the tariff for plane leases .  The possibility of some goods being exempted boosted investor optimism, as shares in Asia rose and the yuan erased losses . The exemptions mirror similar moves on the part of the US, which excluded electronics from its 145% tariff on Chinese imports earlier this month .  China is the world’s largest plastics manufacturer but some of its factories depend on ethane, which is mainly imported from the US . The list of exemptions is still in flux and discussions may not progress .  Traders have been circulating purportedly tariff-exempt lists of customs codes that correlate to key chemicals and chip-making components . Beijing is also preparing to waive additional tariffs on at least eight semiconductor-related products, Caijing reported .  Investors are looking for signs that the two countries will engage to lower tariffs . On Thursday, Chinese officials publicly demanded the US revoke all unilateral tariffs before agreeing to trade talks . On the US front, Trump’s administration has exempted smartphones, computers and other electronics from its so-called reciprocal tariffs .  The exclusions apply to smartphones, laptop computers, hard drives and computer processors and memory chips as well as flat-screen displays . Manufacturers including Apple Inc. and Nvidia Corp. include Apple and Nvidia .",positive,"tariffs, tariff, exempted, exemptions, nvidia"
" Apple aims to import most of its iPhones from India by the end of next year . The goal means Apple will need to roughly double its iPhone output in India . Apple sells more than 60 million iPhones a year in the US .  Apple assembled $22 billion worth of iPhones in India in the 12 months ended March, increasing production by nearly 60% over the previous year . The bulk of India-made iPhones are assembled at Foxconn Technology Group’s factory in southern India . Apple representatives in India didn’t immediately respond to a request for comment .  Apple exported 1.5 trillion rupees ($17.5 billion) in iPhones from the region in the fiscal year through March 2025 . Shipments of iPhones from India to the US accelerated after Trump announced his plans for the “reciprocal” tariffs in February .  Apple now assembles its entire iPhone range in India, including the more expensive titanium Pro models . State subsidies tied to Prime Minister Narendra Modi’s ambition to turn the country into a manufacturing hub .",positive,"india, apple, iphones, year, assembled"
" Fears of a tariff-induced recession and the effect this could have on fuel demand have weighed on oil prices, adding to pressure on Shell (SHEL.L), which is set to report on Friday 2 May . Investors will be keeping an eye out for commentary on potential disruption from tariffs from Mag 7 companies Apple, Microsoft, Meta and Amazon .  US stock markets have fluctuated as investors respond to different messages from the Trump administration around tariffs, particularly those on China, where many of Apple's products are made . Apple is likely to be bracing for a bite to be taken out of sales .  For the second quarter, sales are expected to be up 3% year-on-year at $93.6bn (£70.4bn) Total revenues in the first quarter came in at $124.3bn, which was up 4% on the same period in the previous year . Apple shares fell following the company's first quarter update and are down 18% .  Investors will be keen to find out any more details on Microsoft's AI data centre plans, after it recently revealed that it would ""slowing or pausing"" some projects . Analysts say Microsoft is in ""one of the strongest positions to benefit from the AI revolution""  Revenue in the fourth quarter of $69.6bn came in just ahead of consensus estimates of $68.92bn . Earnings per share of $3.23 beat analysts' expectations . Shares fell after the release of the company's second quarter earnings and failed to recover .  OPEC+ group of leading oil-producing countries suggested that the organisation will accelerate oil production increases for the second consecutive month in June . Lower oil prices impact the profit companies make from refining the commodity, putting pressure on the likes of Shell (SHEL.L) and BP .  Shell said it expected to generate upstream output of 1.79 million to 1.89 million barrels equivalent per day . The company posted an indicative refining margin of $6.2 (£4.82) a barrel for first quarter .  Shell nudged up its dividend to $0.3580 and Shell CEO Wael Sawan launched a $3.5bn share buyback for the first quarter . HSBC's shares had come within a whisker of 2001’s all-time high back in March .  The bank said it aimed to generate around $300m of cost reductions in 2025, committing to an annualised reduction of $1.5bn in its cost base by the end of 2026 .  Analysts expect a like-for-like drop in pre-tax income to $7.8bn in the first quarter . Lower trading gains, higher one-off costs and increased loan loss charges are to blame . A key point of note will be HSBC's cash return to shareholders .  Lloyds posted a pre-tax profit £5.97bn ($7.94bn) for 2024, down from £7.5bn in 2023 . Underlying NII for the year fell 7% to £12.8bn amid fallinginterest rates . Bank also set aside £700m for potential remediation costs relating to relating to motor finance commission arrangements .  Lenders Close Brothers (CBG.L) and FirstRand (FSR.JO) have sought to overturn the ruling, and the caseheaded to the UK's supreme court earlier this month . Lloyds owns motor finance company Black Horse, which is one of the biggest car finance providers in the UK .  Lloyds expected to see some of the highest earnings per share growth from the sector at around 65% over 2025 to 2027 . Pharmaceuticals giant AstraZeneca (AZN.L) was another ""overweight"" rated stock .  AstraZeneca CEO Pascal Soriot said that Europe should boost spending on health treatment . Soriot: Europe needs to invest more in what really matters to it . Europe spends a substantially lower share of GDP on innovative medicines than the US, he said .  Despite nervousness around tariffs, AstraZeneca shares are down less than 1% year-to-date . Company posted a 21% increase in revenue for 2024 at $54.1bn and a 29% rise in reported earnings per share at $4.54 .  Coca-Cola (KO) Pfizer (PFE) Honeywell (HON) Spotify (SPOT) UPS (UPS) PayPal (PYPL) General Motors (GM) Hilton Worldwide (HLT) Royal Caribbean (RCL) Kraft Heinz (KHC) CoStar (CSGP) Entegris (ENTG) Seagate (STX) Snap Inc (SNAP) SoFi Technologies (SOFI) Caesars Entertainment (CZR) Qorvo (QRVO)  Coca-Cola HBC HBC (CCH.L) Smith & Nephew (SN.L.) Coles (COL.AX) Coles, Samsung Electronics (005930.KS) AIA (1299.HK) Foxconn (601138.SS) SAIC Motor (600104.SS): Airbus (AIR.PA) TotalEnergies (TTE.PA: UBS (UBSG.SW) Iberdrola (IBE.MC) Banco Santander (BNC.L): Equinor (EQNR) Mercedes Benz (MBG.DE  Whitbread (WTB.L), Tracsis (TRCS.L) Lloyds Banking (LLOYDS Banking) Endeavour Mining (EDV.L.) Persimmon (PSN.L). Adani Enterprises (ADANIENT.NS) Budweiser Brewing APAC (1876.HK) Apple (AAPL) Amazon (AMZN) Mastercard (MA) McDonald’s (MCD) Linde (LIN) Amgen (AMGN) Stryker (SYK) KKR (KKR) Thomson Reuters (TRI) Airbnb (ABNB  Read more: Bitcoin price rises as Trump hints at China tariffs cut . Ignoring this form could delay pension inheritance and risk 40% tax . Download the Yahoo Finance app, available forAppleandAndroid .",negative,"quarter, shell, share, lloyds, earnings"
" On Wednesday, Sen. Elizabeth Warren requested answers from Apple CEO Cook . Warren cited apattern of ""influence-peddling"" between the iPhone maker and theDonald Trump administration over trade negotiations with China . Warren questioned Apple CEO's involvement insecuring tariff exemptions on Apple products .  Warren: ""The circumstances surrounding Apple's exemptions raise fresh concerns about influence-peddling by huge well-connected corporations"" Warren also mentioned Cook's $1 million donation to Trump's inauguration committee .  Apple did not immediately respond to Benzinga’s request for comments . Cook revealed that Apple's decision to manufacture in China wasn't because of cheap labor, as most people assume .  Fast-growing software company partners with Amazon, Walmart & Target –Many are rushing to grab 4,000 of its pre-IPO shares for just $0.26/share!",negative,"warren, apple, exemptions, influencepeddling, china"
" Tesla CEO Elon Musk predicted that car ownership will soon become obsolete . He compared traditional gasoline vehicles to outdated technologies, likening them to flip phones in an era dominated by smartphones .  Tesla reported first-quarter revenue of $19.34 billion, marking a 9% decline compared to the same period last year . Ferragu compared the Model 3 to theiPhone, noting how it represented a “revolutionary product” with the potential to dominate the car industry in the same way Apple's iPhone revolutionized the smartphone market .  Tesla’s FSD system relies on a camera-based approach, which is believed to be less precise than the LiDAR-based systems used by companies like Alphabet's Waymo . Waymo has logged over 20 million miles using Unsupervised FSD, significantly outpacing Tesla in terms of real-world autonomous driving experience .  Deloitte's #1 fastest-growing software company allows users to earn money on their phones . Asset class previously exclusive to billionaires like Bezos and Gates . You can invest today for just $0.26/share with a $1000 minimum .",negative,"tesla, compared, fsd, car, phones"
